StartTime,Dur,Proto,SrcAddr,Sport,Dir,DstAddr,Dport,State,sTos,dTos,TotPkts,TotBytes,SrcBytes,SrcPkts
2021/05/18 02:25:55.988897,0.000024,tcp,209.141.52.133,58772,   ->,159.65.26.180,80,S_RA,0,0,2,112,58,1
2021/05/18 02:26:13.567375,0.105685,tcp,45.141.84.57,41335,   ->,159.65.26.180,6348,SR_RA,0,0,3,166,112,2
2021/05/18 02:26:16.023596,0.381495,tcp,103.156.92.183,56931,   ->,159.65.26.180,3389,SR_RA,0,0,3,166,112,2
2021/05/18 02:26:33.170648,0.068933,tcp,185.191.34.212,57206,   ->,159.65.26.180,7383,SR_RA,0,0,3,166,112,2
2021/05/18 02:26:37.046825,0.016468,tcp,92.63.197.86,56335,   ->,159.65.26.180,8792,SR_RA,0,0,3,166,112,2
2021/05/18 02:26:37.836878,0.716479,tcp,122.170.12.200,64643,   ->,159.65.26.180,445,S_RA,0,0,4,240,132,2
2021/05/18 02:27:06.398442,0.010779,tcp,92.63.197.58,55556,   ->,159.65.26.180,8084,SR_RA,0,0,3,166,112,2
2021/05/18 02:27:43.836504,0.000025,tcp,192.241.218.92,55167,   ->,159.65.26.180,22,S_RA,0,0,2,110,56,1
2021/05/18 02:28:04.392485,1.577521,tcp,49.235.76.69,53111,   ->,159.65.26.180,4153,S_RA,0,0,6,356,194,3
2021/05/18 02:28:04.408482,1.546387,tcp,49.235.76.69,53112,   ->,159.65.26.180,4145,S_RA,0,0,6,356,194,3
